{17180205801, 239}
{17180036129, 223}
{17180205424, 216}
{17180205418, 245}
{17180036124, 284}
{17180270820, 248}
{17180205808, 288}
{17180205037, 247}
{17180085823, 265}
{17180205425, 213}
{17180205797, 207}
{17180205422, 238}
{42949924871, 229}
{17180205033, 208}
{42949924872, 230}
{17180205809, 276}
{17180270821, 236}
{42949924864, 217}
{17180085825, 266}
{17180205044, 217}
{17180205413, 208}
{42949924868, 224}
{17180036123, 274}
{42949924873, 229}
{17180085767, 257}
{17180036130, 219}
{17180205423, 228}
{17180270819, 233}
{17180205045, 212}
{17180205040, 245}
{17180036142, 201}
{42949925092, 205}
{17180036138, 227}
{17180036140, 212}
{42949925087, 209}
{42949924870, 225}
{17180205883, 210}
{42949925091, 207}
{42949924876, 202}
{17180036131, 203}
{17180085762, 209}
{42949924867, 224}
{17180205810, 262}
{42949924875, 207}
{17180205420, 245}
{17180085766, 251}
{17180270818, 207}
{60129591272, 325}
{17180205800, 236}
{17180205813, 204}
{17180205414, 216}
{17180205811, 274}
{60129591269, 224}
{17180036128, 223}
{60129591274, 326}
{17180205416, 236}
{42949925085, 201}
{42949925086, 204}
{17180205421, 245}
{42949924862, 213}
{42949925093, 203}
{17180085765, 249}
{17180036133, 208}
{17180085763, 220}
{17180205803, 250}
{17180205035, 222}
{42949925088, 209}
{17180205039, 246}
{17180205806, 268}
{17180205036, 239}
{17180036136, 235}
{17180205882, 203}
{17180085764, 231}
{17180085824, 268}
{17180036122, 216}
{17180205807, 279}
{42949924865, 222}
{17180205034, 218}
{17180036137, 236}
{17180205798, 227}
{60129591273, 325}
{17180036141, 211}
{17180205417, 243}
{17180036126, 304}
{17180205426, 207}
{17180036125, 287}
{17180205802, 245}
{17180205043, 230}
{42949925090, 207}
{17180205804, 254}
{17180205042, 239}
{17180086852, 263}
{17180205415, 221}
{17180205885, 202}
{42949924869, 224}
{60129591270, 225}
{17180036127, 276}
{42949925094, 202}
{42949925089, 207}
{17180205046, 205}
{17180205419, 244}
{17180205041, 246}
{17180205799, 231}
{17180205038, 248}
{17180205884, 208}
{17180036139, 218}
{17180205805, 260}
{42949924863, 213}
{17180205032, 201}
{17180036134, 213}
{60129591271, 289}
{17180036135, 217}
{17180205812, 256}
{42949924866, 222}
{42949924874, 219}
